"FileName","Churn","IssueId","CommitId"
"","3","","fcc0b49978104138d25506901289af727e0de96f"
"","1","","0560c334fb2fe33b132a72a07f3c70312942d6e2"
"","6","","5c445bc42cbd30212ff003452d22a75a1cff53ed"
"","2","","6abc1204f3c246a32d7086da20e50b5df358fe78"
"","82","","a9b851763854ffb21e9569f18e0f34b4f661fbeb"
"","1","","dab1a65d2c37920455330d49e5396b25179e25ce"
"","2","","871538d3abcee0d83858b04b84964912814c1675"
"","6","","b7809f91e2cc42d3bb693e742a28815832c6cb89"
"","2","","3b5f3de3b57505c7f1a60ee40ef3448c623b1326"
"","6","","7a63e233d283bcaf40f77ee048ae4ad39808aa92"
"","8","","79f1506fe3a7fae7c22c55d3cd7cdc33bc536dae"
"","1","","7fd180268666f5c997655a67a83bf8827ebe4359"
"","9","","398ddb8fec18eb4dfd1d0c8b1b8222afdb8b6307"
"support/check-commits","6","","55e76e6c20e80c4cb329e596b6a4c0aad6c324ad"
"","43","","8757f1f8d6283f43c25e2b62bd1c2a5b0dd439f9"
"doc/index.md","4","","bfd95392c77789a5e516617ce02a895865a68c3d"
"","2","","6797f0c39a4ef13061cbc3bb850c35af7428fdc4"
"","6","","1334eedaf529731922c6d3c5ec1b59fe15e4a6cf"
"","6","","a6e6e9c3c9a3f2775fd00a901cab6896f0ca3c17"
"","6","","e6d4f927cc7465e43dba5ebc9ad0ad61f8cda9d6"
"","4","","2c84fa9ac9c294fec8ae8fed767e568e6037fe68"
"","2","","8da0240dbc4446c081878c87c73b2a9bf0445fa0"
"","19","","595e54919b514469f540997d12c057724894178d"
"","62","","c636967c5ca11e621573bcbecb115f817981499f"
"","12","","d9b90029bf70fa9ffd1d8ffbe21fc3270cc28ab4"
"","281","","1ac9b317f2e3b2d8eb3161be136e9784362f5cde"
"","4","","ba2fbf6e1f3dea581e116d95d570153451473cd3"
"","4","","9e07045f500b7ffa34fe8698aeb25f54eb45ee54"
"","175","","e721046e2742a813ec83c1ae9a9d09b1f53318da"
"include/fmt/os.h","28","","96dca569a1251ea77f434c2773d4db55c4b8a488"
"","6","","6f62db098a391436be11644ed9e0b55e7964e8d3"
